Patient	Stat	window	sput.val	cult.val
Patient 2	pi	50000	1.5898e-05	4.14e-06
Patient 2	theta	50000	5.6107e-05	1.4499e-05
Patient 2	td	50000	-2.007229418	-1.825156922
Patient 2	pi	60000	1.6187e-05	5.222e-06
Patient 2	theta	60000	5.713e-05	1.8324e-05
Patient 2	td	60000	-2.007242462	-1.81487296
Patient 2	pi	70000	1.5419e-05	5.744e-06
Patient 2	theta	70000	5.4412e-05	2.0172e-05
Patient 2	td	70000	-2.004927359	-1.886145774
Patient 2	pi	80000	1.4959e-05	6.295e-06
Patient 2	theta	80000	5.2785e-05	2.2122e-05
Patient 2	td	80000	-2.003885146	-1.89197389
Patient 2	pi	90000	1.5113e-05	5.664e-06
Patient 2	theta	90000	5.3177e-05	2.0043e-05
Patient 2	td	90000	-2.000846468	-1.774447582
Patient 2	pi	100000	1.4557e-05	5.883e-06
Patient 2	theta	100000	5.1354e-05	2.0819e-05
Patient 2	td	100000	-2.002423054	-1.796132272
Patient 2	pi	110000	1.478e-05	5.447e-06
Patient 2	theta	110000	5.2142e-05	1.9275e-05
Patient 2	td	110000	-2.003072557	-1.788136734
Patient 2	pi	120000	1.428e-05	5.77e-06
Patient 2	theta	120000	5.0218e-05	2.0417e-05
Patient 2	td	120000	-2.000102374	-1.826444555
Patient 2	pi	130000	1.4256e-05	5.152e-06
Patient 2	theta	130000	5.0123e-05	1.823e-05
Patient 2	td	130000	-1.998402661	-1.789361669
Patient 2	pi	140000	1.3356e-05	6.176e-06
Patient 2	theta	140000	4.6927e-05	2.1856e-05
Patient 2	td	140000	-1.992649318	-1.881099088
Patient 2	pi	150000	1.2605e-05	6.142e-06
Patient 2	theta	150000	4.4275e-05	2.1734e-05
Patient 2	td	150000	-1.988752272	-1.881873826
Patient 2	pi	160000	1.198e-05	4.688e-06
Patient 2	theta	160000	4.1757e-05	1.6589e-05
Patient 2	td	160000	-1.979895024	-1.813729631
Patient 2	pi	170000	1.2081e-05	3.808e-06
Patient 2	theta	170000	4.2114e-05	1.3474e-05
Patient 2	td	170000	-1.982915866	-1.706088077
Patient 2	pi	180000	1.3996e-05	4.012e-06
Patient 2	theta	180000	4.889e-05	1.4196e-05
Patient 2	td	180000	-1.992908375	-1.613797128
Patient 2	pi	190000	1.3798e-05	5.109e-06
Patient 2	theta	190000	4.8357e-05	1.8074e-05
Patient 2	td	190000	-1.995841122	-1.746676499
Patient 2	pi	200000	1.4662e-05	5.278e-06
Patient 2	theta	200000	5.0804e-05	1.8673e-05
Patient 2	td	200000	-1.98753068	-1.817660052
Patient 2	pi	210000	1.4125e-05	6.551e-06
Patient 2	theta	210000	4.8911e-05	2.317e-05
Patient 2	td	210000	-1.986195586	-1.920312515
Patient 2	pi	220000	1.3708e-05	6.841e-06
Patient 2	theta	220000	4.7581e-05	2.4199e-05
Patient 2	td	220000	-1.988400365	-1.938331757
Patient 2	pi	230000	1.4928e-05	9.103e-06
Patient 2	theta	230000	5.1317e-05	3.2203e-05
Patient 2	td	230000	-1.984924264	-1.980881617
Patient 2	pi	240000	1.5409e-05	8.945e-06
Patient 2	theta	240000	5.3052e-05	3.1642e-05
Patient 2	td	240000	-1.987972924	-1.98191093
Patient 2	pi	250000	1.5548e-05	9.477e-06
Patient 2	theta	250000	5.3553e-05	3.3528e-05
Patient 2	td	250000	-1.988537608	-1.986447426
Patient 2	pi	260000	1.5962e-05	9.875e-06
Patient 2	theta	260000	5.5143e-05	3.4935e-05
Patient 2	td	260000	-1.990854496	-1.988344392
Patient 2	pi	270000	1.811e-05	1.2323e-05
Patient 2	theta	270000	6.2726e-05	4.3596e-05
Patient 2	td	270000	-1.995714104	-1.999172176
Patient 2	pi	280000	1.7273e-05	1.2101e-05
Patient 2	theta	280000	5.9722e-05	4.281e-05
Patient 2	td	280000	-1.99241236	-1.997341921
Patient 2	pi	290000	4.4144e-05	4.6651e-05
Patient 2	theta	290000	7.9051e-05	7.0652e-05
Patient 2	td	290000	-1.237883001	-0.916335251
Patient 2	pi	300000	4.2335e-05	4.7838e-05
Patient 2	theta	300000	7.2432e-05	7.2884e-05
Patient 2	td	300000	-1.16182325	-0.928691407
Patient 2	pi	310000	4.4362e-05	4.8581e-05
Patient 2	theta	310000	7.7049e-05	7.1311e-05
Patient 2	td	310000	-1.182002442	-0.862965951
Patient 2	pi	320000	4.6693e-05	5.1349e-05
Patient 2	theta	320000	7.9889e-05	7.4384e-05
Patient 2	td	320000	-1.156480111	-0.827842694
Patient 2	pi	330000	4.7755e-05	5.1939e-05
Patient 2	theta	330000	7.8372e-05	6.9942e-05
Patient 2	td	330000	-1.076191333	-0.685113502
Patient 2	pi	340000	4.7735e-05	5.0049e-05
Patient 2	theta	340000	7.968e-05	6.7129e-05
Patient 2	td	340000	-1.100127789	-0.663181723
Patient 2	pi	350000	4.6626e-05	5.104e-05
Patient 2	theta	350000	7.5165e-05	6.9813e-05
Patient 2	td	350000	-1.032017702	-0.707794876
Patient 2	pi	360000	4.6168e-05	5.2361e-05
Patient 2	theta	360000	7.3368e-05	7.351e-05
Patient 2	td	360000	-1.006740347	-0.763907284
Patient 2	pi	370000	4.3822e-05	4.8979e-05
Patient 2	theta	370000	6.5722e-05	6.3547e-05
Patient 2	td	370000	-0.889098527	-0.601534069
Patient 2	pi	380000	4.5717e-05	5.0252e-05
Patient 2	theta	380000	6.9062e-05	6.4349e-05
Patient 2	td	380000	-0.916768378	-0.567566409
Patient 2	pi	390000	1.4165e-05	7.956e-06
Patient 2	theta	390000	5.0099e-05	2.8153e-05
Patient 2	td	390000	-1.990140657	-1.919035404
