Patient	Gene	-log10(p-value)
10	Rv0001	NA
10	Rv0002	NA
10	Rv0003	NA
10	Rv0004	NA
10	Rv0005	0.7413256
10	Rv0006	0.5028465
10	Rv0007	NA
10	Rv0008c	NA
10	Rv0009	NA
10	Rv0010c	NA
10	Rv0011c	NA
10	Rv0012	NA
10	Rv0013	0.22298744
10	Rv0014c	NA
10	Rv0015c	NA
10	Rv0016c	NA
10	Rv0017c	NA
10	Rv0018c	0
10	Rv0019c	NA
10	Rv0020c	NA
10	Rv0021c	NA
10	Rv0022c	NA
10	Rv0023	NA
10	Rv0024	NA
10	Rv0025	NA
10	Rv0026	0
10	Rv0027	NA
10	Rv0028	NA
10	Rv0029	NA
10	Rv0030	NA
10	Rv0031	NA
10	Rv0032	0.24778725
10	Rv0033	NA
10	Rv0034	NA
10	Rv0035	NA
10	Rv0036c	0.90207886
10	Rv0037c	NA
10	Rv0038	NA
10	Rv0039c	NA
10	Rv0040c	NA
10	Rv0041	NA
10	Rv0042c	NA
10	Rv0043c	0.25675621
10	Rv0044c	NA
10	Rv0045c	NA
10	Rv0046c	NA
10	Rv0047c	NA
10	Rv0048c	NA
10	Rv0049	1.12390658
10	Rv0050	1.48549026
10	Rv0051	NA
10	Rv0052	NA
10	Rv0053	NA
10	Rv0054	NA
10	Rv0055	NA
10	Rv0056	NA
10	Rv0057	NA
10	Rv0058	NA
10	Rv0059	NA
10	Rv0060	NA
10	Rv0061	NA
10	Rv0062	NA
10	Rv0063	NA
10	Rv0064	NA
10	Rv0065	NA
10	Rv0066c	0.25532296
10	Rv0067c	NA
10	Rv0068	NA
10	Rv0069c	NA
10	Rv0070c	NA
10	Rv0071	NA
10	Rv0072	NA
10	Rv0073	NA
10	Rv0074	NA
10	Rv0075	NA
10	Rv0076c	NA
10	Rv0077c	NA
10	Rv0078	NA
10	Rv0078A	NA
10	Rv0079	NA
10	Rv0080	NA
10	Rv0081	NA
10	Rv0082	NA
10	Rv0083	NA
10	Rv0084	NA
10	Rv0085	NA
10	Rv0086	NA
10	Rv0087	0
10	Rv0088	NA
10	Rv0089	NA
10	Rv0090	NA
10	Rv0091	NA
10	Rv0092	NA
10	Rv0093c	NA
10	Rv0094c	NA
10	Rv0095c	4.68853613
10	Rv0096	0.48863801
10	Rv0097	NA
10	Rv0098	NA
10	Rv0099	NA
10	Rv0100	NA
10	Rv0101	0
10	Rv0102	NA
10	Rv0103c	NA
10	Rv0104	NA
10	Rv0105c	NA
10	Rv0106	0.47055096
10	Rv0107c	0.7278308
10	Rv0108c	NA
10	Rv0109	NA
10	Rv0110	NA
10	Rv0111	NA
10	Rv0112	NA
10	Rv0113	0
10	Rv0114	NA
10	Rv0115	NA
10	Rv0116c	NA
10	Rv0117	NA
10	Rv0118c	NA
10	Rv0119	NA
10	Rv0120c	NA
10	Rv0121c	NA
10	Rv0122	NA
10	Rv0123	NA
10	Rv0124	0.94350648
10	Rv0125	NA
10	Rv0126	NA
10	Rv0127	NA
10	Rv0128	NA
10	Rv0129c	NA
10	Rv0130	NA
10	Rv0131c	NA
10	Rv0132c	NA
10	Rv0133	NA
10	Rv0134	NA
10	Rv0135c	NA
10	Rv0136	0
10	Rv0137c	NA
10	Rv0138	NA
10	Rv0139	NA
10	Rv0140	NA
10	Rv0141c	NA
10	Rv0142	NA
10	Rv0143c	0.55572626
10	Rv0144	NA
10	Rv0145	0
10	Rv0146	NA
10	Rv0147	NA
10	Rv0148	NA
10	Rv0149	NA
10	Rv0150c	NA
10	Rv0151c	0
10	Rv0152c	NA
10	Rv0153c	NA
10	Rv0154c	NA
10	Rv0155	NA
10	Rv0156	NA
10	Rv0157	0.2542004
10	Rv0157A	NA
10	Rv0158	NA
10	Rv0159c	NA
10	Rv0160c	NA
10	Rv0161	0
10	Rv0162c	NA
10	Rv0163	NA
10	Rv0164	NA
10	Rv0165c	NA
10	Rv0166	0.23787574
10	Rv0167	NA
10	Rv0168	NA
10	Rv0169	0
10	Rv0170	NA
10	Rv0171	0.25370505
10	Rv0172	NA
10	Rv0173	NA
10	Rv0174	NA
10	Rv0175	NA
10	Rv0176	NA
10	Rv0177	0.25447992
10	Rv0178	NA
10	Rv0179c	NA
10	Rv0180c	0
10	Rv0181c	NA
10	Rv0182c	0.53633499
10	Rv0183	NA
10	Rv0184	NA
10	Rv0185	NA
10	Rv0186	NA
10	Rv0187	NA
10	Rv0188	NA
10	Rv0189c	NA
10	Rv0190	NA
10	Rv0191	NA
10	Rv0192A	NA
10	Rv0192	NA
10	Rv0193c	NA
10	Rv0194	NA
10	Rv0195	NA
10	Rv0196	NA
10	Rv0197	NA
10	Rv0198c	NA
10	Rv0199	NA
10	Rv0200	NA
10	Rv0201c	NA
10	Rv0202c	NA
10	Rv0203	NA
10	Rv0204c	NA
10	Rv0205	NA
10	Rv0206c	0.50533635
10	Rv0207c	0.24417888
10	Rv0208c	NA
10	Rv0209	0.60146411
10	Rv0210	NA
10	Rv0211	NA
10	Rv0212c	NA
10	Rv0213c	NA
10	Rv0214	0.25320502
10	Rv0215c	0.80166079
10	Rv0216	NA
10	Rv0217c	NA
10	Rv0218	NA
10	Rv0219	NA
10	Rv0220	0.5703658
10	Rv0221	NA
10	Rv0222	NA
10	Rv0223c	0
10	Rv0224c	NA
10	Rv0225	NA
10	Rv0226c	0.24394513
10	Rv0227c	NA
10	Rv0228	NA
10	Rv0229c	NA
10	Rv0230c	NA
10	Rv0231	NA
10	Rv0232	NA
10	Rv0233	NA
10	Rv0234c	NA
10	Rv0235c	NA
10	Rv0236c	NA
10	Rv0236A	NA
10	Rv0237	NA
10	Rv0238	NA
10	Rv0239	NA
10	Rv0240	NA
10	Rv0241c	0.51641746
10	Rv0242c	NA
10	Rv0243	NA
10	Rv0244c	NA
10	Rv0245	NA
10	Rv0246	NA
10	Rv0247c	NA
10	Rv0248c	0.2468318
10	Rv0249c	NA
10	Rv0250c	NA
10	Rv0251c	NA
10	Rv0252	NA
10	Rv0253	NA
10	Rv0254c	NA
10	Rv0255c	NA
10	Rv0256c	NA
10	Rv0257	NA
10	Rv0258c	NA
10	Rv0259c	NA
10	Rv0260c	NA
10	Rv0261c	0.57599036
10	Rv0262c	NA
10	Rv0263c	NA
10	Rv0264c	NA
10	Rv0265c	NA
10	Rv0266c	NA
10	Rv0267	0.58797875
10	Rv0268c	NA
10	Rv0269c	NA
10	Rv0270	NA
10	Rv0271c	NA
10	Rv0272c	NA
10	Rv0273c	NA
10	Rv0274	NA
10	Rv0275c	NA
10	Rv0276	NA
10	Rv0277c	0
10	Rv0278c	10.16496548
10	Rv0279c	17.41257023
10	Rv0280	NA
10	Rv0281	0.57897993
10	Rv0282	NA
10	Rv0283	NA
10	Rv0284	NA
10	Rv0285	NA
10	Rv0286	0
10	Rv0287	NA
10	Rv0288	NA
10	Rv0289	NA
10	Rv0290	NA
10	Rv0291	NA
10	Rv0292	NA
10	Rv0293c	NA
10	Rv0294	NA
10	Rv0295c	0.25781805
10	Rv0296c	0
10	Rv0297	NA
10	Rv0298	NA
10	Rv0299	NA
10	Rv0300	NA
10	Rv0301	NA
10	Rv0302	NA
10	Rv0303	NA
10	Rv0304c	0.27964979
10	Rv0305c	0.2578949
10	Rv0306	NA
10	Rv0307c	NA
10	Rv0308	NA
10	Rv0309	NA
10	Rv0310c	NA
10	Rv0311	NA
10	Rv0312	NA
10	Rv0313	NA
10	Rv0314c	NA
10	Rv0315	NA
10	Rv0316	NA
10	Rv0317c	NA
10	Rv0318c	0
10	Rv0319	0.25339857
10	Rv0320	NA
10	Rv0321	NA
10	Rv0322	NA
10	Rv0323c	NA
10	Rv0324	NA
10	Rv0325	NA
10	Rv0326	NA
10	Rv0327c	NA
10	Rv0328	NA
10	Rv0329c	NA
10	Rv0330c	NA
10	Rv0331	NA
10	Rv0332	NA
10	Rv0333	NA
10	Rv0334	NA
10	Rv0335c	NA
10	Rv0336	NA
10	Rv0337c	NA
10	Rv0338c	7.27141052
10	Rv0339c	0.23995287
10	Rv0340	NA
10	Rv0341	NA
10	Rv0342	NA
10	Rv0343	NA
10	Rv0344c	NA
10	Rv0345	NA
10	Rv0346c	NA
10	Rv0347	NA
10	Rv0348	NA
10	Rv0349	NA
10	Rv0350	NA
10	Rv0351	NA
10	Rv0352	NA
10	Rv0353	0.23529176
10	Rv0354c	NA
10	Rv0355c	2.45972566
10	Rv0356c	NA
10	Rv0357c	NA
10	Rv0358	NA
10	Rv0359	NA
10	Rv0360c	NA
10	Rv0361	NA
10	Rv0362	NA
10	Rv0363c	NA
10	Rv0364	NA
10	Rv0365c	0.25212982
10	Rv0366c	NA
10	Rv0367c	NA
10	Rv0368c	NA
10	Rv0369c	NA
10	Rv0370c	NA
10	Rv0371c	NA
10	Rv0372c	NA
10	Rv0373c	NA
10	Rv0374c	NA
10	Rv0375c	NA
10	Rv0376c	NA
10	Rv0377	NA
10	Rv0378	0
10	Rv0379	NA
10	Rv0380c	NA
10	Rv0381c	NA
10	Rv0382c	NA
10	Rv0383c	NA
10	Rv0384c	NA
10	Rv0385	NA
10	Rv0386	NA
10	Rv0387c	NA
10	Rv0388c	0.25244744
10	Rv0389	NA
10	Rv0390	NA
10	Rv0391	0.25291686
10	Rv0392c	0.24438112
10	Rv0393	NA
10	Rv0394c	NA
10	Rv0395	NA
10	Rv0396	NA
10	Rv0397	NA
10	Rv0398c	NA
10	Rv0399c	NA
10	Rv0400c	NA
10	Rv0401	NA
10	Rv0402c	NA
10	Rv0403c	NA
10	Rv0404	NA
10	Rv0405	NA
10	Rv0406c	NA
10	Rv0407	NA
10	Rv0408	NA
10	Rv0409	NA
10	Rv0410c	0.8588383
10	Rv0411c	NA
10	Rv0412c	NA
10	Rv0413	NA
10	Rv0414c	NA
10	Rv0415	NA
10	Rv0416	NA
10	Rv0417	NA
10	Rv0418	NA
10	Rv0419	NA
10	Rv0420c	NA
10	Rv0421c	NA
10	Rv0422c	NA
10	Rv0423c	NA
10	Rv0424c	NA
10	Rv0425c	NA
10	Rv0426c	NA
10	Rv0427c	NA
10	Rv0428c	NA
10	Rv0429c	NA
10	Rv0430	NA
10	Rv0431	NA
10	Rv0432	NA
10	Rv0433	NA
10	Rv0434	NA
10	Rv0435c	NA
10	Rv0436c	NA
10	Rv0437c	NA
10	Rv0438c	0
10	Rv0439c	NA
10	Rv0440	0.24797788
10	Rv0441c	NA
10	Rv0442c	0.23792618
10	Rv0443	NA
10	Rv0444c	NA
10	Rv0445c	0.60365318
10	Rv0446c	NA
10	Rv0447c	NA
10	Rv0448c	NA
10	Rv0449c	NA
10	Rv0450c	NA
10	Rv0451c	NA
10	Rv0452	NA
10	Rv0453	0
10	Rv0454	NA
10	Rv0455c	NA
10	Rv0456c	NA
10	Rv0456A	0.5505328
10	Rv0457c	0.70053105
10	Rv0458	NA
10	Rv0459	NA
10	Rv0460	NA
10	Rv0461	NA
10	Rv0462	NA
10	Rv0463	0.25558111
10	Rv0464c	NA
10	Rv0465c	NA
10	Rv0466	NA
10	Rv0467	NA
10	Rv0468	NA
10	Rv0469	NA
